date;Market Cap;Volume;Open;Close
07.08.2024;$1.104.019.419.317;$52.620.100.833;$55.960;$55.100
06.08.2024;$1.064.889.039.014;$120.245.972.389;$53.956;$55.960
05.08.2024;$1.147.854.905.922;$33.664.501.541;$58.006;$53.956
04.08.2024;$1.197.962.170.719;$32.885.545.024;$60.739;$58.006
03.08.2024;$1.211.854.070.245;$39.004.321.616;$61.407;$60.739
02.08.2024;$1.289.157.073.528;$38.911.302.448;$65.358;$61.407
01.08.2024;$1.275.401.473.742;$31.403.681.581;$64.680;$65.358
31.07.2024;$1.306.758.338.818;$28.892.376.511;$66.219;$64.680
30.07.2024;$1.317.581.413.497;$42.529.043.667;$66.770;$66.219
29.07.2024;$1.346.263.382.370;$17.175.244.020;$68.242;$66.770
28.07.2024;$1.342.889.431.799;$30.976.752.617;$68.055;$68.242
27.07.2024;$1.339.927.966.899;$30.821.370.069;$67.920;$68.055
26.07.2024;$1.297.125.144.853;$35.836.896.136;$65.750;$67.920
25.07.2024;$1.290.447.066.028;$28.680.123.270;$65.404;$65.750
24.07.2024;$1.300.963.591.116;$36.100.536.095;$65.942;$65.404
23.07.2024;$1.333.201.881.092;$43.157.593.652;$67.608;$65.942
22.07.2024;$1.343.346.742.483;$27.078.771.828;$68.088;$67.608
21.07.2024;$1.325.658.979.468;$17.353.396.168;$67.206;$68.088
20.07.2024;$1.316.147.398.344;$36.994.610.752;$66.690;$67.206
19.07.2024;$1.261.456.293.182;$25.976.148.879;$63.960;$66.690
18.07.2024;$1.266.016.458.007;$33.459.451.714;$64.136;$63.960
17.07.2024;$1.284.899.538.175;$40.914.441.633;$65.162;$64.136
16.07.2024;$1.277.806.993.831;$37.810.068.493;$64.835;$65.162
15.07.2024;$1.204.059.167.829;$21.295.520.564;$60.942;$64.835
14.07.2024;$1.168.371.787.726;$16.765.547.593;$59.153;$60.942
13.07.2024;$1.141.567.375.406;$25.504.482.306;$57.899;$59.153
12.07.2024;$1.130.276.546.536;$29.196.653.599;$57.388;$57.899
11.07.2024;$1.139.350.681.823;$25.987.656.347;$57.704;$57.388
10.07.2024;$1.144.794.688.187;$28.413.854.577;$57.988;$57.704
09.07.2024;$1.117.615.464.652;$41.614.266.908;$56.665;$57.988
08.07.2024;$1.100.452.083.928;$20.211.914.621;$55.880;$56.665
07.07.2024;$1.147.176.330.416;$21.293.913.671;$58.230;$55.880
06.07.2024;$1.118.490.666.778;$60.081.357.583;$56.740;$58.230
05.07.2024;$1.130.121.668.991;$43.112.005.395;$57.189;$56.740
04.07.2024;$1.186.937.170.315;$30.348.692.427;$60.245;$57.189
03.07.2024;$1.222.901.857.941;$18.100.530.102;$62.043;$60.245
02.07.2024;$1.238.799.172.480;$25.573.074.911;$62.820;$62.043
01.07.2024;$1.236.676.710.888;$17.373.592.048;$62.734;$62.820
30.06.2024;$1.199.792.912.681;$11.435.110.884;$60.864;$62.734
29.06.2024;$1.189.569.860.171;$24.399.416.695;$60.317;$60.864
28.06.2024;$1.213.931.985.720;$18.855.138.893;$61.563;$60.317
27.06.2024;$1.198.205.485.428;$22.908.540.919;$60.750;$61.563
26.06.2024;$1.217.935.012.740;$21.105.562.262;$61.770;$60.750
25.06.2024;$1.188.964.670.369;$42.036.553.107;$60.363;$61.770
24.06.2024;$1.248.188.877.658;$10.748.270.932;$63.221;$60.363
23.06.2024;$1.266.336.092.891;$6.340.606.686;$64.240;$63.221
22.06.2024;$1.263.258.746.635;$24.694.310.199;$64.072;$64.240
21.06.2024;$1.279.317.116.821;$26.001.551.475;$64.845;$64.072
20.06.2024;$1.278.699.763.341;$21.680.698.981;$64.907;$64.845
19.06.2024;$1.282.295.865.979;$41.386.972.050;$65.109;$64.907
18.06.2024;$1.309.329.377.373;$29.409.728.999;$66.460;$65.109
17.06.2024;$1.313.849.391.757;$12.650.130.204;$66.616;$66.460
16.06.2024;$1.304.370.314.918;$13.472.726.245;$66.190;$66.616
15.06.2024;$1.301.949.410.096;$27.966.992.833;$66.011;$66.190
14.06.2024;$1.317.161.415.435;$29.654.777.884;$66.700;$66.011
13.06.2024;$1.345.244.310.607;$36.027.809.551;$68.225;$66.700
12.06.2024;$1.327.665.028.180;$38.513.044.383;$67.329;$68.225
11.06.2024;$1.369.378.888.544;$19.335.866.774;$69.493;$67.329
10.06.2024;$1.372.556.186.705;$10.461.044.041;$69.654;$69.493
09.06.2024;$1.366.065.699.664;$10.688.301.508;$69.315;$69.654
08.06.2024;$1.366.366.925.857;$18.597.495.570;$69.325;$69.315
07.06.2024;$1.394.881.646.978;$23.612.879.690;$70.760;$69.325
06.06.2024;$1.400.297.735.227;$32.560.403.315;$71.185;$70.760
05.06.2024;$1.390.853.496.950;$31.561.053.725;$70.600;$71.185
04.06.2024;$1.355.484.820.107;$29.862.293.750;$68.808;$70.600
03.06.2024;$1.335.930.570.690;$16.137.350.588;$67.740;$68.808
02.06.2024;$1.333.649.555.935;$10.724.053.325;$67.704;$67.740
01.06.2024;$1.331.606.411.823;$19.685.305.476;$67.475;$67.704
31.05.2024;$1.346.147.846.430;$25.344.376.898;$68.372;$67.475
30.05.2024;$1.331.734.029.835;$24.320.692.138;$67.577;$68.372
29.05.2024;$1.347.542.673.428;$31.278.122.196;$68.317;$67.577
28.05.2024;$1.366.931.305.389;$18.983.806.932;$69.367;$68.317
27.05.2024;$1.349.351.520.129;$11.243.743.771;$68.509;$69.367
26.05.2024;$1.363.997.851.295;$15.929.396.750;$69.268;$68.509
25.05.2024;$1.350.764.328.536;$28.127.411.967;$68.540;$69.268
24.05.2024;$1.336.347.300.306;$39.235.702.119;$67.906;$68.540
23.05.2024;$1.362.228.629.449;$31.059.440.496;$69.181;$67.906
22.05.2024;$1.382.275.470.798;$41.105.056.578;$70.190;$69.181
21.05.2024;$1.406.288.649.447;$35.923.476.641;$71.430;$70.190
20.05.2024;$1.304.727.108.598;$9.072.734.600;$66.253;$71.430
19.05.2024;$1.319.928.522.882;$13.025.487.676;$66.913;$66.253
18.05.2024;$1.319.238.394.090;$25.397.793.919;$67.053;$66.913
17.05.2024;$1.286.278.919.684;$29.114.585.833;$65.261;$67.053
16.05.2024;$1.307.048.849.176;$38.101.793.065;$66.221;$65.261
15.05.2024;$1.212.998.352.772;$21.581.895.152;$61.569;$66.221
14.05.2024;$1.238.994.152.713;$27.740.460.084;$62.879;$61.569
13.05.2024;$1.211.277.523.449;$13.045.696.109;$61.507;$62.879
12.05.2024;$1.197.102.943.502;$12.120.618.802;$60.777;$61.507
11.05.2024;$1.199.393.711.200;$23.987.518.755;$60.888;$60.777
10.05.2024;$1.240.910.691.254;$25.837.724.248;$63.149;$60.888
09.05.2024;$1.203.918.522.477;$20.303.831.135;$61.216;$63.149
08.05.2024;$1.229.336.706.399;$19.925.137.721;$62.363;$61.216
07.05.2024;$1.244.417.948.316;$17.917.770.174;$63.172;$62.363
06.05.2024;$1.259.667.234.461;$18.115.695.040;$64.010;$63.172
05.05.2024;$1.257.549.583.083;$20.510.614.461;$63.820;$64.010
04.05.2024;$1.239.817.041.555;$33.591.665.812;$62.839;$63.820
03.05.2024;$1.164.721.402.399;$28.255.509.745;$59.135;$62.839
02.05.2024;$1.151.677.489.315;$51.109.380.172;$58.298;$59.135
01.05.2024;$1.197.773.959.986;$39.533.113.322;$60.749;$58.298
30.04.2024;$1.257.159.131.219;$27.242.983.698;$63.798;$60.749
29.04.2024;$1.240.724.751.366;$16.180.294.651;$63.030;$63.798
28.04.2024;$1.249.495.302.303;$19.190.483.386;$63.517;$63.030
27.04.2024;$1.255.539.337.969;$23.302.057.198;$63.802;$63.517
26.04.2024;$1.269.387.456.068;$24.705.345.526;$64.486;$63.802
25.04.2024;$1.265.541.377.861;$30.939.903.322;$64.280;$64.486
24.04.2024;$1.306.843.409.278;$23.232.230.785;$66.407;$64.280
23.04.2024;$1.317.058.642.854;$27.748.586.313;$66.842;$66.407
22.04.2024;$1.279.763.566.407;$19.592.118.541;$64.936;$66.842
21.04.2024;$1.277.940.837.360;$16.601.830.591;$64.894;$64.936
20.04.2024;$1.263.308.149.914;$52.227.787.324;$63.989;$64.894
19.04.2024;$1.249.565.911.947;$35.901.618.166;$63.462;$63.989
18.04.2024;$1.207.185.042.484;$41.123.362.076;$61.329;$63.462
17.04.2024;$1.253.670.904.297;$42.157.169.474;$63.721;$61.329
16.04.2024;$1.247.928.896.841;$42.796.604.938;$63.431;$63.721
